Vak,Thema,Lesnaam,Vraag,Antwoord,Fout 1,Fout 2,Fout 3
WO,Lichaam,Skelet (Kaart),Hoe heten de botjes in de enkel?,Voetwortelbeentjes,Handwortelbeentjes,Teenkootjes,Ribben
WO,Lichaam,Skelet (Kaart),Hoe heten de botjes van de tenen?,Teenkootjes,Vingerkootjes,Handwortelbeentjes,Bekken
WO,Lichaam,Gewrichten,Hoe heet het gladde oppervlak bij beenderen?,Kraakbeen,Een pees,Een spier,Een zenuw
WO,Lichaam,Gewrichten,Wat houden de gewrichten bij elkaar?,Spieren en pezen,Alleen huid,Alleen bloedvaten,Lucht
WO,Lichaam,Spieren,Wat is de kleur van onze spieren?,Rood,Blauw,Wit,Geel
WO,Lichaam,Spieren,Waar halen de spieren hun energie vandaan?,Uit voedsel,Uit water,Uit de lucht,Uit de zon
WO,Lichaam,Spieren,Hoeveel wegen de spieren van iemand van 40kg?,Ongeveer 15 kg,Precies 5 kg,Ongeveer 30 kg,Precies 40 kg
WO,Lichaam,3 soorten spieren,Wat is een voorbeeld van een spier die automatisch werkt?,De hartspier,De biceps,De kauwspier,De kuitspier
WO,Lichaam,3 soorten spieren,Wat is een voorbeeld van een bewuste spier?,De kauwspier,De maagspier,De darmspier,De hartspier
WO,Lichaam,3 soorten spieren,Wat gebeurt er met een spier als je hem spant?,Hij wordt harder en dikker,Hij wordt zachter,Hij wordt langer,Hij wordt blauw
WO,Lichaam,Spijsvertering,Hoe lang is de slokdarm ongeveer?,25 cm,5 meter,1.5 meter,10 cm
WO,Lichaam,Spijsvertering,Welk orgaan is ongeveer 5 meter lang?,De dunne darm,De dikke darm,De slokdarm,De maag
WO,Lichaam,Spijsvertering,Welk orgaan is ongeveer 1 tot 1.5 meter lang?,De dikke darm,De dunne darm,De slokdarm,De lever
WO,Lichaam,Spijsvertering,Waar worden de afvalstoffen opgeslagen?,De endeldarm,De lever,De maag,De slokdarm
WO,Lichaam,Zintuigen,Hoe heet een seintje uit de omgeving?,Een prikkel,Een zenuw,Een reactie,Een spierpijn
WO,Lichaam,Zintuigen,Wat verbindt de zintuigen met de hersenen?,Zenuwen,Spieren,Botten,Bloedvaten
WO,Lichaam,Proeven,Waar op de tong proef je vooral zoet?,Vooraan,Achteraan,Zijkanten,Midden
WO,Lichaam,Proeven,Waar op de tong proef je vooral bitter?,Achteraan,Vooraan,Zijkanten,Onder de tong
WO,Lichaam,Proeven,Wat betekent de vijfe smaak Umami?,Hartig,Heel zoet,Heel zuur,Heel zout
WO,Lichaam,Gehoor,Wat is de functie van de oorschelp?,Geluidstrillingen opvangen,Het evenwicht bewaren,Hersensignalen maken,Slijm maken
Frans,T5: Woordenschat,Multimedia,une radio,een radio,,,
Frans,T5: Woordenschat,Multimedia,une photo,een foto,,,
Frans,T5: Woordenschat,Multimedia,une tablette,een tablet,,,
Frans,T5: Woordenschat,Multimedia,un GSM,een gsm,,,
Frans,T5: Woordenschat,Multimedia,un CD,een cd,,,
Frans,T5: Woordenschat,Multimedia,un DVD,een dvd,,,
Frans,T5: Woordenschat,Multimedia,la radio,de radio,,,
Frans,T5: Woordenschat,Muziek,une guitare,een gitaar,,,
Frans,T5: Woordenschat,Muziek,un instrument,een instrument,,,
Frans,T5: Woordenschat,Muziek,un piano,een piano,,,
Frans,T5: Woordenschat,Muziek,une trompette,een trompet,,,
Frans,T5: Woordenschat,Muziek,un saxophone,een saxofoon,,,
Frans,T5: Woordenschat,Muziek,une flûte,een fluit,,,
Frans,T5: Woordenschat,Muziek,un violon,een viool,,,
Frans,T5: Woordenschat,Muziek,le piano,de piano,,,
Frans,T6: Woordenschat,Sporten,la gym,het turnen,,,
Frans,T6: Woordenschat,Sporten,le foot,de voetbal,,,
Frans,T6: Woordenschat,Sporten,le basket,het basketbal,,,
Frans,T6: Woordenschat,Sporten,le tennis,de tennis,,,
Frans,T6: Woordenschat,Sporten,le vélo,het fietsen,,,
Frans,T6: Woordenschat,Hobby & Vrije Tijd,la danse,de dans,,,
Frans,T6: Woordenschat,Hobby & Vrije Tijd,la muziek,de muziek,,,
Frans,T6: Woordenschat,Hobby & Vrije Tijd,le deesign,het tekenen,,,
Frans,T6: Woordenschat,Hobby & Vrije Tijd,une chanson,een liedje,,,
Frans,T6: Woordenschat,Hobby & Vrije Tijd,un spel,een spel,,,
Frans,T6: Woordenschat,Hobby & Vrije Tijd,un sport,een sport,,,
Frans,T6: Woordenschat,Hobby & Vrije Tijd,un hobby,een hobby,,,
Frans,T6: Woordenschat,Hobby & Vrije Tijd,un match,een wedstrijd,,,
Frans,T6: Woordenschat,Hobby & Vrije Tijd,un ballon,een bal,,,
Frans,T5: Woordenschat,Hoeveelheden,cent grammes de,honderd gram van,,,
Frans,T5: Woordenschat,Hoeveelheden,un kilo de,een kilo,,,
Frans,T5: Woordenschat,Hoeveelheden,un peu de,een beetje,,,
Frans,T5: Woordenschat,Hoeveelheden,beaucoup de,veel,,,
Frans,T5: Woordenschat,Hoeveelheden,moins de,minder,,,
Frans,T5: Woordenschat,Hoeveelheden,plus de,meer,,,
Frans,T5: Woordenschat,Hoeveelheden,trop de,te veel,,,
Frans,T5: Woordenschat,Au Magasin,un magasin,een winkel,,,
Frans,T5: Woordenschat,Au Magasin,un supermarche,een supermarkt,,,
Frans,T5: Woordenschat,Matten,un kilo,een kilo,,,
Frans,T5: Woordenschat,Matten,un gramme,een gram,,,
Frans,T5: Woordenschat,Personen,un monsieur,mijnheer,,,
Frans,T5: Woordenschat,Au Magasin,un prijs,een prijs,,,
Frans,T5: Woordenschat,Geld,un euro,een euro,,,
Frans,T5: Woordenschat,Geld,un centime,een cent,,,
Frans,T5: Woordenschat,Au Magasin,une caisse,een kassa,,,
Frans,T5: Woordenschat,Personen,une madame,een mevrouw,,,
Frans,T5: Woordenschat,Personen,mademoiselle,juffrouw,,,
Frans,T5: Woordenschat,Werkwoorden,peser,wegen,,,
Frans,T5: Woordenschat,Werkwoorden,acheter,kopen,,,
Frans,T5: Woordenschat,Werkwoorden,vendre,verkopen,,,
Frans,T5: Woordenschat,Werkwoorden,payer,betalen,,,
Frans,T5: Woordenschat,Getallen,quarante,veertig,,,
Frans,T5: Woordenschat,Getallen,cinquante,vijftig,,,
Frans,T5: Woordenschat,Getallen,soixante,zestig,,,
Frans,T5: Woordenschat,Getallen,soixante-dix,zeventig,,,
Frans,T5: Woordenschat,Getallen,quatre-vingts,tachtig,,,
Frans,T5: Woordenschat,Getallen,quatre-vingt-dix,negentig,,,
Frans,T5: Woordenschat,Getallen,cent,honderd,,,
Frans,T5: Woordenschat,Vraagwoorden,combien,hoeveel,,,
Frans,T5: Woordenschat,Cuisine,un legume,een groente,,,
Frans,T5: Woordenschat,Cuisine,un fruit,een vrucht,,,
Frans,T5: Woordenschat,Cuisine,un kiwi,een kiwi,,,
Frans,T5: Woordenschat,Cuisine,un champignon,een champignon,,,
Frans,T5: Woordenschat,Cuisine,un concombre,een komkommer,,,
Frans,T5: Woordenschat,Cuisine,un pain,een brood,,,
Frans,T5: Woordenschat,Cuisine,un croissant,een croissant,,,
Frans,T5: Woordenschat,Cuisine,un oeuf,een ei,,,
Frans,T5: Woordenschat,Cuisine,le lait,de melk,,,
Frans,T5: Woordenschat,Cuisine,le beurre,de boter,,,
Frans,T5: Woordenschat,Cuisine,le sucre,de suiker,,,
Frans,T5: Woordenschat,Cuisine,le fromage,de kaas,,,
Frans,T5: Woordenschat,Cuisine,le jambon,de ham,,,
Frans,T5: Woordenschat,Cuisine,le poisson,de vis,,,
Frans,T5: Woordenschat,Cuisine,le chocolat,de chocolade,,,
Frans,T5: Woordenschat,Cuisine,une recette,een recept,,,
Frans,T5: Woordenschat,Cuisine,une pomme,een appel,,,
Frans,T5: Woordenschat,Cuisine,une poire,een peer,,,
Frans,T5: Woordenschat,Cuisine,une fraise,een aardbei,,,
Frans,T5: Woordenschat,Cuisine,une banane,een banaan,,,
Frans,T5: Woordenschat,Cuisine,une orange,een sinaasappel,,,
Frans,T5: Woordenschat,Cuisine,une tomate,een tomaat,,,
Frans,T5: Woordenschat,Cuisine,une carotte,een wortel,,,
Frans,T5: Woordenschat,Cuisine,une salade,een sla,,,
Frans,T5: Woordenschat,Cuisine,une pomme de terre,een aardappel,,,
Frans,T5: Woordenschat,Cuisine,une baguette,een stokbrood,,,
Frans,T5: Woordenschat,Cuisine,une tarte,een taart,,,
Frans,T5: Woordenschat,Cuisine,une tartine,een boterham,,,
Frans,T5: Woordenschat,Cuisine,une tranche,een sneetje,,,
Frans,T5: Woordenschat,Cuisine,la viande,het vlees,,,
Frans,T5: Woordenschat,Cuisine,la confiture,de jam,,,
Frans,T5: Woordenschat,Cuisine,la charcuterie,de vleeswaren,,,
Frans,T5: Woordenschat,Cuisine,l'eau,het water,,,
Frans,T5: Woordenschat,Cuisine,couper,snijden,,,
Frans,T5: Woordenschat,Cuisine,peler,schillen,,,
Frans,T5: Woordenschat,Cuisine,verser,gieten,,,
Frans,T5: Woordenschat,Cuisine,cuire,bakken,,,
Frans,T5: Woordenschat,Cuisine,cuisiner,koken,,,
Frans,T5: Woordenschat,Cuisine,laver,wassen,,,
Frans,T5: Woordenschat,Cuisine,ajouter,toevoegen,,,
Frans,T5: Woordenschat,Cuisine,delicieux,heerlijk,,,
Frans,T6: Verbes,Faire du sport,faire du sport,sporten,,,
Frans,T6: Verbes,Nager,nager,zwemmen,,,
Frans,T6: Verbes,Danser,danser,dansen,,,
Frans,T6: Verbes,Chanter,chanter,zingen,,,
Frans,T6: Verbes,Dessiner,dessiner,tekenen,,,
Frans,T6: Verbes,Jouer,jouer,spelen,,,
Frans,T5: Spelling,Au Magasin,een winkel,un magasin,une magasin,un magazin,un magassin
Frans,T5: Spelling,Au Magasin,een supermarche,un supermarche,une supermarche,un supermarke,un suppermarché
Frans,T5: Spelling,Maten,een kilo,un kilo,une kilo,un quilo,un killo
Frans,T5: Spelling,Maten,een gram,un gramme,une gramme,un grame,un gramm
Frans,T5: Spelling,Personen,mijnheer,un monsieur,une monsieur,un monssieur,un messieur
Frans,T5: Spelling,Au Magasin,een prijs,un prix,une prix,un prik,un pris
Frans,T5: Spelling,Geld,een euro,un euro,une euro,un uuro,un oero,un eurro
Frans,T5: Spelling,Geld,een cent,un centime,une centime,un santime,un centiem
Frans,T5: Spelling,Au Magasin,een kassa,une caisse,un caisse,une caise,une kasse
Frans,T5: Spelling,Personen,een mevrouw,une madame,un madame,une maddame,une madam
Frans,T5: Spelling,Personen,juffrouw,mademoiselle,un mademoiselle,mademmoiselle,madmoiselle
Frans,T5: Spelling,Werkwoorden,wegen,peser,un peser,pessere,pezer,pezere
Frans,T5: Spelling,Werkwoorden,kopen,acheter,une acheter,achtere,asheter,asheter
Frans,T5: Spelling,Werkwoorden,verkopen,vendre,un vendre,vander,vendere,vendere
Frans,T5: Spelling,Werkwoorden,betalen,payer,une payer,paier,payere,paiyer
Frans,T5: Spelling,Getallen,veertig,quarante,carante,quaranteh,quarande
Frans,T5: Spelling,Getallen,vijftig,cinquante,sinquante,cincante,cinquande
Frans,T5: Spelling,Getallen,zestig,soixante,souaxante,soisante,soissante
Frans,T5: Spelling,Getallen,zeventig,soixante-dix,soissante-dix,septante,soixante-dis
Frans,T5: Spelling,Getallen,tachtig,quatre-vingts,quatre-vingt,katre-vingt,quatre-vints
Frans,T5: Spelling,Getallen,negentig,quatre-vingt-dix,quatre-vingts-dix,nonante,katre-vingt-dis
Frans,T5: Spelling,Getallen,honderd,cent,un cent,sant,cend
Frans,T5: Spelling,Vraagwoorden,hoeveel,combien,un combat,conbien,combiem
Frans,T5: Spelling,Cuisine,een groente,un legume,une legume,un leggume,un leggume
Frans,T5: Spelling,Cuisine,een vrucht,un fruit,une fruit,un fruid,un fruite
Frans,T5: Spelling,Cuisine,een ei,un oeuf,une oeuf,un oef,un euf
Frans,T5: Spelling,Cuisine,de suiker,le sucre,la sucre,le succre,le sukkre
Frans,T5: Spelling,Cuisine,de kaas,le fromage,la fromage,le frommage,le froomage
Frans,T5: Spelling,Cuisine,een recept,une recette,un recette,une recete,une ressette
Frans,T5: Spelling,Cuisine,een aardappel,une pomme de terre,un pomme de terre,une pome de terre,une pomme du terre
Frans,T5: Spelling,Cuisine,een stokbrood,une baguette,un baguette,une bagette,une bagguette
Frans,T5: Spelling,Cuisine,een boterham,une tartine,un tartine,une tartinne,une tartiene
Frans,T5: Spelling,Cuisine,de jam,la confiture,le confiture,la confitur,la konfiture
Frans,T5: Spelling,Cuisine,het water,le eau,le eau,la eau,le eaux
Frans,T5: Spelling,Cuisine,de vis,le poisson,la poisson,le poison,le poissone
Frans,T5: Spelling,Cuisine,heerlijk,delicieux,delicieuse,delecieux,delecieuse

WO,Lichaam,Skelet (Kaart),Wat is nr 1?,1. Schedel,2. Halswervels,10. Bekken,5. Ribben
WO,Lichaam,Skelet (Kaart),Wat is nr 2?,2. Halswervels,9. Ruggenwervels,1. Schedel,4. Sleutelbeen
WO,Lichaam,Skelet (Kaart),Wat is nr 3?,3. Schoudergewricht,6. Ellebooggewricht,13. Kniegewricht,16. Heupgewricht
WO,Lichaam,Skelet (Kaart),Wat is nr 4?,4. Sleutelbeen,5. Ribben,1. Schedel,3. Schoudergewricht
WO,Lichaam,Skelet (Kaart),Wat is nr 5?,5. Ribben,4. Sleutelbeen,9. Ruggenwervels,10. Bekken
WO,Lichaam,Skelet (Kaart),Wat is nr 6?,6. Ellebooggewricht,13. Kniegewricht,17. Polsgewricht,3. Schoudergewricht
WO,Lichaam,Skelet (Kaart),Wat is nr 7?,7. Spaakbeen,8. Ellepijp,14. Kuitbeen,12. Scheenbeen
WO,Lichaam,Skelet (Kaart),Wat is nr 8?,8. Ellepijp,7. Spaakbeen,14. Kuitbeen,12. Scheenbeen
WO,Lichaam,Skelet (Kaart),Wat is nr 9?,9. Ruggenwervels,2. Halswervels,10. Bekken,5. Ribben
WO,Lichaam,Skelet (Kaart),Wat is nr 10?,10. Bekken,16. Heupgewricht,1. Schedel,9. Ruggenwervels
WO,Lichaam,Skelet (Kaart),Wat is nr 11?,11. Dijbeen,12. Scheenbeen,14. Kuitbeen,7. Spaakbeen
WO,Lichaam,Skelet (Kaart),Wat is nr 12?,12. Scheenbeen,14. Kuitbeen,11. Dijbeen,8. Ellepijp
WO,Lichaam,Skelet (Kaart),Wat is nr 13?,13. Kniegewricht,16. Heupgewricht,6. Ellebooggewricht,15. Enkelgewricht
WO,Lichaam,Skelet (Kaart),Wat is nr 14?,14. Kuitbeen,12. Scheenbeen,11. Dijbeen,7. Spaakbeen
WO,Lichaam,Skelet (Kaart),Wat is nr 15?,15. Enkelgewricht,17. Polsgewricht,13. Kniegewricht,6. Ellebooggewricht
WO,Lichaam,Skelet (Kaart),Wat is nr 16?,16. Heupgewricht,10. Bekken,3. Schoudergewricht,13. Kniegewricht
WO,Lichaam,Skelet (Kaart),Wat is nr 17?,17. Polsgewricht,15. Enkelgewricht,6. Ellebooggewricht,7. Spaakbeen





